"pitch [deg], pitch_time [ms] pitch_crc"
"0.00,1ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"0.84,16,16.84"
"-0.29,31,30.71"
"-0.40,46,45.60"
"0.90,61,61.90"
"-0.97,76,75.03"
"0.57,91,91.57"
"0.11,106,106.11"
"-0.73,121,120.27"
"1.00,136,137.00"
"-0.79,151,150.21"
"0.20,166,166.20"
"0.48,181,181.48"
"-0.94,196,195.06"
"0.94,211,211.94"
"-0.49,226,225.51"
"-0.19,241,240.81"
"0.78,256,256.78"
"-1.00,271,270.00"
"0.73,286,286.73"
"-0.11,301,300.89"
"-0.56,316,315.44"
"0.96,331,331.96"
"-0.91,346,345.09"
"0.41,361,361.41"
"0.28,376,376.28"
"-0.84,391,390.16"
"0.99,406,406.99"
"-0.67,421,420.33"
"0.03,436,436.03"
"0.63,451,451.63"
"-0.98,466,465.02"
"0.86,481,481.86"
"-0.33,496,495.67"
"-0.36,511,510.64"
"0.88,526,526.88"
"-0.98,541,540.02"
"0.60,556,556.60"
"0.06,571,571.06"
"-0.70,586,585.30"
"1.00,601,602.00"
"-0.82,616,615.18"
"0.25,631,631.25"
"0.44,646,646.44"
"-0.92,661,660.08"
"0.95,676,676.95"
"-0.53,691,690.47"
"-0.15,706,705.85"
"0.76,721,721.76"
"-1.00,736,735.00"
"0.76,751,751.76"
"-0.16,766,765.84"
"-0.52,781,780.48"
"0.95,796,796.95"
"-0.92,811,810.08"
"0.45,826,826.45"
"0.24,841,841.24"
"-0.81,856,855.19"
"1.00,871,872.00"
"-0.70,886,885.30"
"0.07,901,901.07"
"0.59,916,916.59"
"-0.97,931,930.03"
"0.89,946,946.89"
"-0.37,961,960.63"
"-0.32,976,975.68"
"0.86,991,991.86"
"-0.99,1006,1005.01"
"0.64,1021,1021.64"
"0.02,1036,1036.02"
"-0.66,1051,1050.34"
"0.99,1066,1066.99"
"-0.84,1081,1080.16"
"0.29,1096,1096.29"
"0.40,1111,1111.40"
"-0.90,1126,1125.10"
"0.97,1141,1141.97"
"-0.57,1156,1155.43"
"-0.11,1171,1170.89"
"0.73,1186,1186.73"
"-1.00,1201,1200.00"
"0.79,1216,1216.79"
"-0.20,1231,1230.80"
"-0.48,1246,1245.52"
"0.94,1261,1261.94"
"-0.94,1276,1275.06"
"0.49,1291,1291.49"
"0.19,1306,1306.19"
"-0.78,1321,1320.22"
"1.00,1336,1337.00"
"-0.73,1351,1350.27"
"0.11,1366,1366.11"
"0.56,1381,1381.56"
"-0.96,1396,1395.04"
"0.91,1411,1411.91"
"-0.41,1426,1425.59"
"-0.28,1441,1440.72"
"0.84,1456,1456.84"
"-0.99,1471,1470.01"
"0.67,1486,1486.67"
"-0.03,1501,1500.97"
"-0.63,1516,1515.37"
"0.98,1531,1531.98"
"-0.86,1546,1545.14"
"0.33,1561,1561.33"
"0.36,1576,1576.36"
"-0.88,1591,1590.12"
"0.98,1606,1606.98"
"-0.60,1621,1620.40"
"-0.06,1636,1635.94"
"0.70,1651,1651.70"
"-1.00,1666,1665.00"
"0.82,1681,1681.82"
"-0.25,1696,1695.75"
"-0.44,1711,1710.56"
"0.92,1726,1726.92"
"-0.95,1741,1740.05"
"0.53,1756,1756.53"
"0.15,1771,1771.15"
"-0.76,1786,1785.24"
"1.00,1801,1802.00"
"-0.76,1816,1815.24"
"0.16,1831,1831.16"
"0.52,1846,1846.52"
"-0.95,1861,1860.05"
"0.92,1876,1876.92"
"-0.45,1891,1890.55"
"-0.24,1906,1905.76"
"0.81,1921,1921.81"
"-1.00,1936,1935.00"
"0.70,1951,1951.70"
"-0.07,1966,1965.93"
"-0.59,1981,1980.41"
"0.97,1996,1996.97"
"-0.89,2011,2010.11"
"0.37,2026,2026.37"
"0.32,2041,2041.32"
"-0.86,2056,2055.14"
"0.99,2071,2071.99"
"-0.64,2086,2085.36"
"-0.02,2101,2100.98"
"0.66,2116,2116.66"
"-0.99,2131,2130.01"
"0.84,2146,2146.84"
"-0.29,2161,2160.71"
"-0.40,2176,2175.60"
"0.90,2191,2191.90"
"-0.97,2206,2205.03"
"0.57,2221,2221.57"
"0.11,2236,2236.11"
"-0.73,2251,2250.27"
"1.00,2266,2267.00"
"-0.79,2281,2280.21"
"0.20,2296,2296.20"
"0.48,2311,2311.48"
"-0.94,2326,2325.06"
"0.94,2341,2341.94"
"-0.49,2356,2355.51"
"-0.19,2371,2370.81"
"0.78,2386,2386.78"
"-1.00,2401,2400.00"
"0.73,2416,2416.73"
"-0.11,2431,2430.89"
"-0.56,2446,2445.44"
"0.96,2461,2461.96"
"-0.91,2476,2475.09"
"0.41,2491,2491.41"
"0.28,2506,2506.28"
"-0.84,2521,2520.16"
