"pitch [deg], pitch_time [ms] pitch_crc"
"53,12452.37"
"-0.63,12468,12467.37"
"-0.63,12483,12482.37"
"-0.63,124ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"-7.74,21,13.26"
"-7.74,36,28.26"
"-7.74,51,43.26"
"-7.74,6ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"-7.74,81,73.26"
"-7.74,96,88.26"
"-7.74,111,103.26"
"-7.74,126,118.26"
"-7.74,141,133.26"
"-7.74,156,148.26"
"-7.74,171ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿÿÿÿÿÿÿÿÿ"
"-7.74,186,178.26"
"-7.74,201,193.26"
"-7.74,216,208.26"
"-7.74,231,223.26"
"-7.74,246,238.26"
"-7.74,261,253.26"
"-7.74,276,268.26"
"-7.74,291,283.26"
"-7.74,306,298.26"
"-7.74,321,313.26"
"-7.74,336,328.26"
"-7.74,351,343.26"
"-7.74,366,358.26"
"-7.74,381,373.26"
"-7.74,396,388.26"
"-7.74,411,403.26"
"-7.74,426,418.26"
"-7.74,441,433.26"
"-7.74,456,448.26"
"-7.74,471,463.26"
"-7.74,486,478.26"
"-7.74,501,493.26"
"-7.74,516,508.26"
"-7.74,531,523.26"
"-7.74,546,538.26"
"-7.74,561,553.26"
"-7.74,576,568.26"
"-7.74,591,583.26"
"-7.74,606,598.26"
"-7.74,621,613.26"
"-7.74,636,628.26"
"-7.74,651,643.26"
"-7.74,666,658.26"
"-7.74,681,673.26"
"-7.74,696,688.26"
"-7.74,711,703.26"
"-7.74,726,718.26"
"-7.74,741,733.26"
"-7.74,756,748.26"
"-7.74,771,763.26"
"-7.74,786,778.26"
"-7.74,801,793.26"
"-7.74,816,808.26"
"-7.74,831,823.26"
"-7.74,846,838.26"
"-7.74,861,853.26"
"-7.74,876,868.26"
"-7.74,891,883.26"
"-7.74,906,898.26"
"-7.74,921,913.26"
"-7.74,936,928.26"
"-7.74,951,943.26"
"-7.74,966,958.26"
"-7.74,981,973.26"
"-7.74,996,988.26"
"-7.74,1011,1003.26"
"-7.74,1026,1018.26"
"-7.74,1041,1033.26"
"-7.74,1056,1048.26"
"-7.74,1071,1063.26"
"-7.74,1086,1078.26"
"-7.74,1101,1093.26"
"-7.74,1116,1108.26"
"-7.74,1131,1123.26"
"-7.74,1146,1138.26"
"-7.74,1161,1153.26"
"-7.74,1176,1168.26"
"-7.74,1191,1183.26"
"-7.74,1206,1198.26"
"-7.74,1221,1213.26"
"-7.74,1236,1228.26"
"-7.74,1251,1243.26"
"-7.74,1266,1258.26"
"-7.74,1281,1273.26"
"-7.74,1296,1288.26"
"-7.74,1311,1303.26"
"-7.74,1326,1318.26"
"-7.74,1341,1333.26"
"-7.74,1356,1348.26"
"-7.74,1371,1363.26"
"-7.74,1386,1378.26"
"-7.74,1401,1393.26"
"-7.74,1416,1408.26"
"-7.74,1431,1423.26"
"-7.74,1446,1438.26"
"-7.74,1461,1453.26"
"-7.74,1476,1468.26"
"-7.74,1491,1483.26"
"-7.74,1506,1498.26"
"-7.74,1521,1513.26"
"-7.74,1536,1528.26"
"-7.74,1551,1543.26"
"-7.74,1566,1558.26"
"-7.74,1581,1573.26"
"-7.74,1596,1588.26"
"-7.74,1611,1603.26"
"-7.74,1626,1618.26"
"-7.74,1641,1633.26"
"-7.74,1656,1648.26"
"-7.74,1671,1663.26"
"-7.74,1686,1678.26"
"-7.74,1701,1693.26"
"-7.74,1716,1708.26"
"-7.74,1731,1723.26"
"-7.74,1746,1738.26"
"-7.74,1761,1753.26"
"-7.74,1776,1768.26"
"-7.74,1791,1783.26"
"-7.74,1806,1798.26"
"-7.74,1821,1813.26"
"-7.74,1836,1828.26"
"-7.74,1851,1843.26"
"-7.74,1866,1858.26"
"-7.74,1881,1873.26"
"-7.74,1896,1888.26"
"-7.74,1911,1903.26"
"-7.74,1926,1918.26"
"-7.74,1941,1933.26"
"-7.74,1956,1948.26"
"-7.74,1971,1963.26"
"-7.74,1986,1978.26"
"-7.74,2001,1993.26"
"-7.74,2016,2008.26"
"-7.74,2031,2023.26"
"-7.74,2046,2038.26"
"-7.74,2061,2053.26"
"-7.74,2076,2068.26"
"-7.74,2091,2083.26"
"-7.74,2106,2098.26"
