"yaw [deg], yaw_time [ms], yaw_crc"
"2.85,4,6.85"
"2.85,19,21.85"
"2.85,34,36.85"
"2.85,49,51.85"
"2.85,64,66.85"
"2.85,79,81.85"
"2.85,94,96.85"
"2.85,109,111.85"
"2.85,124,126.85"
"2.85,139,141.85"
"2.85,154,156.85"
"2.85,169,171.85"
"2.85,184,186.85"
"2.85,199,201.85"
"2.85,214,216.85"
"2.85,229,231.85"
"2.85,244,246.85"
"2.85,259,261.85"
"2.85,274,276.85"
"2.85,289,291.85"
"2.85,304,306.85"
"2.85,319,321.85"
"2.85,334,336.85"
"2.85,349,351.85"
"2.85,364,366.85"
"2.85,379,381.85"
"2.85,394,396.85"
"2.85,409,411.85"
"2.85,424,426.85"
"2.85,439,441.85"
"2.85,454,456.85"
"2.86,469,471.86"
"2.86,484,486.86"
"2.86,499,501.86"
"2.86,514,516.86"
"2.86,529,531.86"
"2.86,544,546.86"
"2.86,559,561.86"
"2.85,574,576.85"
"2.85,589,591.85"
"2.85,604,606.85"
"2.85,619,621.85"
"2.85,634,636.85"
"2.85,649,651.85"
"2.85,664,666.85"
"2.85,679,681.85"
"2.85,694,696.85"
"2.85,709,711.85"
"2.85,724,726.85"
"2.85,739,741.85"
"2.85,754,756.85"
"2.85,769,771.85"
"2.85,784,786.85"
"2.85,799,801.85"
"2.85,814,816.85"
"2.85,829,831.85"
"2.85,844,846.85"
"2.85,859,861.85"
"2.85,874,876.85"
"2.85,889,891.85"
"2.85,904,906.85"
"2.85,919,921.85"
"2.85,934,936.85"
"2.85,949,951.85"
"2.85,964,966.85"
"2.85,979,981.85"
"2.85,994,996.85"
"2.85,1009,1011.85"
"2.85,1024,1026.85"
"2.85,1039,1041.85"
"2.85,1054,1056.85"
"2.85,1069,1071.85"
"2.85,1084,1086.85"
"2.85,1099,1101.85"
"2.85,1114,1116.85"
"2.85,1129,1131.85"
"2.85,1144,1146.85"
"2.85,1159,1161.85"
"2.85,1174,1176.85"
"2.85,1189,1191.85"
"2.85,1204,1206.85"
"2.85,1219,1221.85"
"2.85,1234,1236.85"
"2.85,1249,1251.85"
"2.85,1264,1266.85"
"2.85,1279,1281.85"
"2.85,1294,1296.85"
"2.85,1309,1311.85"
"2.85,1324,1326.85"
"2.85,1339,1341.85"
"2.85,1354,1356.85"
"2.85,1369,1371.85"
"2.85,1384,1386.85"
"2.85,1399,1401.85"
"2.85,1414,1416.85"
